"date","heat","cool"
2012-11-09,16,0
2012-11-10,18,0
2012-11-11,18,0
2012-11-12,14,0
2012-11-13,10,0
2012-11-14,7,0
2012-11-15,9,0
2012-11-16,10,0
2012-11-17,9,0
2012-11-18,10,0
2012-11-19,10,0
2012-11-20,10,0
2012-11-21,9,0
2012-11-22,9,0
2012-11-23,7,0
2012-11-24,4,0
2012-11-25,7,0
2012-11-26,9,0
2012-11-27,10,0
2012-11-28,12,0
2012-11-29,10,0
2012-11-30,8,0
2012-12-01,8,0
2012-12-02,9,0
2012-12-03,9,0
2012-12-04,10,0
2012-12-05,8,0
2012-12-06,9,0
2012-12-07,10,0
2012-12-08,13,0
2012-12-09,12,0
2012-12-10,11,0
2012-12-11,11,0
2012-12-12,16,0
2012-12-13,19,0
2012-12-14,22,0
2012-12-15,23,0
2012-12-16,20,0
2012-12-17,15,0
2012-12-18,17,0
2012-12-19,23,0
2012-12-20,21,0
2012-12-21,19,0
2012-12-22,19,0
2012-12-23,18,0
2012-12-24,16,0
2012-12-25,20,0
2012-12-26,20,0
2012-12-27,20,0
2012-12-28,22,0
2012-12-29,23,0
2012-12-30,23,0
2012-12-31,23,0
2013-01-01,23,0
2013-01-02,20,0
2013-01-03,18,0
2013-01-04,18,0
2013-01-05,19,0
2013-01-06,21,0
2013-01-07,18,0
2013-01-08,15,0
2013-01-09,14,0
2013-01-10,21,0
2013-01-11,25,0
2013-01-12,26,0
2013-01-13,27,0
2013-01-14,27,0
2013-01-15,24,0
2013-01-16,19,0
2013-01-17,13,0
2013-01-18,11,0
2013-01-19,11,0
2013-01-20,11,0
2013-01-21,10,0
2013-01-22,9,0
2013-01-23,10,0
2013-01-24,11,0
2013-01-25,11,0
2013-01-26,11,0
2013-01-27,16,0
2013-01-28,21,0
2013-01-29,20,0
2013-01-30,15,0
2013-01-31,12,0
2013-02-01,10,0
2013-02-02,10,0
2013-02-03,9,0
2013-02-04,11,0
2013-02-05,14,0
2013-02-06,15,0
2013-02-07,18,0
2013-02-08,22,0
2013-02-09,22,0
2013-02-10,22,0
2013-02-11,20,0
2013-02-12,18,0
2013-02-13,16,0
2013-02-14,12,0
2013-02-15,8,0
2013-02-16,7,0
2013-02-17,13,0
2013-02-18,16,0
2013-02-19,20,0
2013-02-20,22,0
2013-02-21,21,0
2013-02-22,18,0
2013-02-23,18,0
2013-02-24,16,0
2013-02-25,16,0
2013-02-26,15,0
2013-02-27,13,0
2013-02-28,11,0
2013-03-01,6,0
2013-03-02,4,0
2013-03-03,8,0
2013-03-04,10,0
2013-03-05,13,0
2013-03-06,15,0
2013-03-07,17,0
2013-03-08,19,0
2013-03-09,16,0
2013-03-10,13,0
2013-03-11,10,0
2013-03-12,6,0
2013-03-13,2,0
2013-03-14,2,0
2013-03-15,3,0
2013-03-16,5,0
2013-03-17,7,0
2013-03-18,9,0
2013-03-19,8,0
2013-03-20,8,0
2013-03-21,9,0
2013-03-22,10,0
2013-03-23,10,0
2013-03-24,9,0
2013-03-25,8,0
2013-03-26,8,0
2013-03-27,8,0
2013-03-28,7,0
2013-03-29,5,0
2013-03-30,4,0
2013-03-31,8,0
2013-04-01,10,0
2013-04-02,7,0
2013-04-03,5,0
2013-04-04,5,0
2013-04-05,7,0
2013-04-06,6,0
2013-04-07,6,0
